#data
R,THETA,PHI,abs|E|
100,80,180,6.69636
100,85,180,6.70764
100,90,180,6.71072
100,95,180,0
100,100,180,0
100,105,180,0
100,110,180,0
100,115,180,0
100,120,180,0
100,125,180,0
100,130,180,0
100,135,180,0
100,140,180,0
100,145,180,0
100,150,180,0
100,155,180,0
100,160,180,0
100,165,180,0
100,170,180,0
100,175,180,0
100,180,180,0
100,0,185,2.59796
100,5,185,2.71231
100,10,185,2.97096
100,15,185,3.32948
100,20,185,3.74636
100,25,185,4.18831
100,30,185,4.62911
100,35,185,5.04801
100,40,185,5.42906
100,45,185,5.76112
100,50,185,6.03789
100,55,185,6.25775
100,60,185,6.42319
100,65,185,6.54008
100,70,185,6.61663
100,75,185,6.66232
100,80,185,6.68658
100,85,185,6.69748
100,90,185,6.70047
100,95,185,0
100,100,185,0
100,105,185,0
100,110,185,0
100,115,185,0
100,120,185,0
100,125,185,0
100,130,185,0
100,135,185,0
100,140,185,0
100,145,185,0
100,150,185,0
100,155,185,0
100,160,185,0
100,165,185,0
100,170,185,0
100,175,185,0
100,180,185,0
100,0,190,2.59796
100,5,190,2.70276
100,10,190,2.95044
100,15,190,3.29939
100,20,190,3.70989
100,25,190,4.14907
100,30,190,4.59002
100,35,190,5.01057
100,40,190,5.39315
100,45,190,5.72544
100,50,190,6.00076
100,55,190,6.21793
100,60,190,6.38038
100,65,190,6.49498
100,70,190,6.57056
100,75,190,6.61663
100,80,190,6.6421
100,85,190,6.6542
100,90,190,6.65768
100,95,190,0
100,100,190,0
100,105,190,0
100,110,190,0
100,115,190,0
100,120,190,0
100,125,190,0
100,130,190,0
100,135,190,0
100,140,190,0
100,145,190,0
100,150,190,0
100,155,190,0
100,160,190,0
100,165,190,0
100,170,190,0
100,175,190,0
100,180,190,0
100,0,195,2.59796
100,5,195,2.69185
100,10,195,2.92526
100,15,195,3.2602
100,20,195,3.6593
100,25,195,4.09053
100,30,195,4.52647
100,35,195,4.9437
100,40,195,5.32329
100,45,195,5.65198
100,50,195,5.92291
100,55,195,6.13544
100,60,195,6.29397
100,65,195,6.40624
100,70,195,6.48151
100,75,195,6.52899
100,80,195,6.5567
100,85,195,6.57078
100,90,195,6.57505
100,95,195,0
100,100,195,0
100,105,195,0
100,110,195,0
100,115,195,0
100,120,195,0
100,125,195,0
100,130,195,0
100,135,195,0
100,140,195,0
100,145,195,0
100,150,195,0
100,155,195,0
100,160,195,0
100,165,195,0
100,170,195,0
100,175,195,0
100,180,195,0
100,0,20,2.59796
100,5,20,2.67072
100,10,20,2.89137
100,15,20,3.22762
100,20,20,3.63529
100,25,20,4.07071
100,30,20,4.49705
100,35,20,4.88703
100,40,20,5.22415
100,45,20,5.50237
100,50,20,5.72441
100,55,20,5.89861
100,60,20,6.03538
100,65,20,6.14407
100,70,20,6.23114
100,75,20,6.29963
100,80,20,6.34993
100,85,20,6.38096
100,90,20,6.39148
100,95,20,0
100,100,20,0
100,105,20,0
100,110,20,0
100,115,20,0
100,120,20,0
100,125,20,0
100,130,20,0
100,135,20,0
100,140,20,0
100,145,20,0
100,150,20,0
100,155,20,0
100,160,20,0
100,165,20,0
100,170,20,0
100,175,20,0
100,180,20,0
100,0,200,2.59796
100,5,200,2.67972
100,10,200,2.89576
100,15,200,3.21234
100,20,200,3.59508
100,25,200,4.01309
100,30,200,4.43874
100,35,200,4.84759
100,40,200,5.21959
100,45,200,5.54076
100,50,200,5.80417
100,55,200,6.0097
100,60,200,6.16265
100,65,200,6.2715
100,70,200,6.34576
100,75,200,6.39422
100,80,200,6.42395
100,85,200,6.43988
100,90,200,6.44488
100,95,200,0
100,100,200,0
100,105,200,0
100,110,200,0
100,115,200,0
100,120,200,0
100,125,200,0
100,130,200,0
100,135,200,0
100,140,200,0
100,145,200,0
100,150,200,0
100,155,200,0
100,160,200,0
100,165,200,0
100,170,200,0
100,175,200,0
100,180,200,0
100,0,205,2.59796
100,5,205,2.66656
100,10,205,2.86238
100,15,205,3.15651
100,20,205,3.51802
100,25,205,3.91759
100,30,205,4.32768
100,35,205,4.72314
100,40,205,5.08303
100,45,205,5.39279
100,50,205,5.64543
100,55,205,5.8413
100,60,205,5.98639
100,65,205,6.08977
100,70,205,6.16113
100,75,205,6.20888
100,80,205,6.23923
100,85,205,6.2561
100,90,205,6.26152
100,95,205,0
100,100,205,0
100,105,205,0
100,110,205,0
100,115,205,0
100,120,205,0
100,125,205,0
100,130,205,0
100,135,205,0
100,140,205,0
100,145,205,0
100,150,205,0
